line,filename,tool,target,type,num_configs,variability,automatic_features
988,bigint.c,CBMC,axtls_2_1_4,overflow,2,True,"['CONFIG_BIGINT_SQUARE', 'CONFIG_OPENSSL_COMPATIBLE', 'CONFIG_BIGINT_CRT', 'CONFIG_HTTP_HAS_CGI', 'CONFIG_HTTP_HAS_IPV6', 'CONFIG_INTEGER_8BIT', 'CONFIG_SSL_PROT_HIGH', '-CONFIG_SSL_HAS_PEM', '-CONFIG_SAMPLES', '-CONFIG_INTEGER_16BIT', '-CONFIG_BIGINT_CHECK_ON', '-CONFIG_BIGINT_KARATSUBA', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_USE_PKCS12', '-CONFIG_SSL_GENERATE_X509_CERT', '-MUL_KARATSUBA_THRESH', '-CONFIG_C_SAMPLES', '-CONFIG_AXTLSWRAP', '-CONFIG_SSL_PROT_LOW']"
51,sha384.c,CBMC,axtls_2_1_4,pointer dereference,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
89,crypto_misc.c,CBMC,axtls_2_1_4,pointer dereference,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
201,sha256.c,CBMC,axtls_2_1_4,pointer dereference,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
180,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,2,True,"['CONFIG_BIGINT_BARRETT', 'CONFIG_DEBUG', 'CONFIG_SSL_PROT_MEDIUM', 'CONFIG_BIGINT_SQUARE', 'CONFIG_INTEGER_32BIT', 'CONFIG_SAMPLES', '-CONFIG_HTTP_CGI_LAUNCHER', '-CONFIG_SSL_HAS_PEM', '-CONFIG_SSL_PROT_HIGH', '-CONFIG_INTEGER_16BIT', '-CONFIG_HTTP_ENABLE_DIFFERENT_USER', '-CONFIG_HTTP_HAS_AUTHORIZATION', '-CONFIG_HTTP_HAS_CGI', '-CONFIG_HTTP_USER', '-CONFIG_BIGINT_CRT', '-CONFIG_HTTP_CGI_EXTENSIONS', '-CONFIG_HTTP_STATIC_BUILD', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_USE_PKCS12', '-CONFIG_SSL_GENERATE_X509_CERT', '-CONFIG_BIGINT_CLASSICAL', '-CONFIG_AXTLSWRAP', '-CONFIG_HTTP_DIRECTORIES', '-CONFIG_SSL_PROT_LOW']"
738,asn1.c,CBMC,axtls_2_1_4,overflow,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
285,p12.c,CBMC,axtls_2_1_4,overflow,1,True,"['CONFIG_HTTP_DIRECTORIES', 'CONFIG_AXTLSWRAP', 'CONFIG_C_SAMPLES', 'CONFIG_BIGINT_CLASSICAL', 'CONFIG_SSL_GENERATE_X509_CERT', 'CONFIG_SSL_USE_PKCS12', 'CONFIG_SSL_USE_DEFAULT_KEY', 'CONFIG_HTTP_STATIC_BUILD', 'CONFIG_OPENSSL_COMPATIBLE', 'CONFIG_BIGINT_CRT', 'CONFIG_INTEGER_8BIT', 'CONFIG_SAMPLES', 'CONFIG_HTTP_IS_DAEMON', 'CONFIG_SSL_PROT_HIGH', '-CONFIG_HTTP_CGI_LAUNCHER', '-CONFIG_SSL_HAS_PEM', '-CONFIG_HTTP_VERBOSE', '-CONFIG_INTEGER_16BIT', '-CONFIG_BIGINT_CHECK_ON', '-CONFIG_HTTP_ENABLE_DIFFERENT_USER', '-CONFIG_HTTP_HAS_AUTHORIZATION', '-CONFIG_HTTP_HAS_IPV6', '-CONFIG_INTEGER_32BIT', '-CONFIG_HTTP_HAS_CGI', '-CONFIG_HTTP_USER', '-CONFIG_BIGINT_KARATSUBA', '-CONFIG_BIGINT_SLIDING_WINDOW', '-CONFIG_HTTP_CGI_EXTENSIONS', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_USE_DEV_URANDOM', '-CONFIG_BIGINT_SQUARE', '-CONFIG_SSL_CTX_MUTEXING', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_PROT_MEDIUM', '-CONFIG_DEBUG', '-MUL_KARATSUBA_THRESH', '-CONFIG_BIGINT_BARRETT', '-CONFIG_SSL_PROT_LOW']"
162,sha256.c,CBMC,axtls_2_1_4,overflow,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
1075,proc.c,CBMC,axtls_2_1_4,pointer dereference,1,True,"['CONFIG_HTTP_DIRECTORIES', 'CONFIG_BIGINT_CLASSICAL', 'CONFIG_BIGINT_SQUARE', 'CONFIG_SSL_USE_DEFAULT_KEY', 'CONFIG_HTTP_STATIC_BUILD', 'CONFIG_HTTP_CGI_EXTENSIONS', 'CONFIG_OPENSSL_COMPATIBLE', 'CONFIG_BIGINT_SLIDING_WINDOW', 'CONFIG_BIGINT_CRT', 'CONFIG_HTTP_USER', 'CONFIG_HTTP_HAS_CGI', 'CONFIG_HTTP_HAS_IPV6', 'CONFIG_HTTP_HAS_AUTHORIZATION', 'CONFIG_INTEGER_8BIT', 'CONFIG_HTTP_ENABLE_DIFFERENT_USER', 'CONFIG_HTTP_IS_DAEMON', 'CONFIG_SSL_PROT_HIGH', 'CONFIG_HTTP_CGI_LAUNCHER', '-CONFIG_SSL_HAS_PEM', '-CONFIG_HTTP_VERBOSE', '-CONFIG_SAMPLES', '-CONFIG_INTEGER_16BIT', '-CONFIG_BIGINT_CHECK_ON', '-CONFIG_INTEGER_32BIT', '-CONFIG_BIGINT_KARATSUBA', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_USE_DEV_URANDOM', '-CONFIG_SSL_CTX_MUTEXING', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_USE_PKCS12', '-CONFIG_SSL_GENERATE_X509_CERT', '-CONFIG_SSL_PROT_MEDIUM', '-CONFIG_DEBUG', '-MUL_KARATSUBA_THRESH', '-CONFIG_C_SAMPLES', '-CONFIG_BIGINT_BARRETT', '-CONFIG_AXTLSWRAP', '-CONFIG_SSL_PROT_LOW']"
57,sha1.c,CBMC,axtls_2_1_4,pointer dereference,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
